doc-number,Caption,Committees,Sponsors,links
HB 1,"Georgia Pro-Birth Accountability Act; enact
Status: 01/23/2023 - House Second Readers",House Committee:Public Health,"Kendrick, Dar'shun , 95thClark, Jasmine , 108thScott, Sandra , 76thDavis, Viola , 87thCannon, Park , 58thHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63469
HB 2,"Primaries and elections; advanced voting; runoffs; provisions
Status: 12/13/2022 - House Prefiled",,"Clark, Jasmine , 108th",https://www.legis.ga.gov/legislation/63470
HB 3,"Support for Students Living in Poverty Act; enact
Status: 01/24/2023 - House Second Readers",House Committee:Education,"Scott, Sandra , 76thBeverly, James , 143rdDavis, Viola , 87thSchofield, Kim , 63rdBarnes, Imani , 86thCarter, Doreen , 93rd",https://www.legis.ga.gov/legislation/63471
HB 4,"Behavioral Health and Developmental Disabilities, Department of; create and maintain electronic inpatient psychiatric bed registry; require
Status: 02/07/2023 - House Second Readers",House Committee:Health,"Scott, Sandra , 76thDavis, Viola , 87thCarter, Doreen , 93rdTaylor, Rhonda , 92ndHutchinson, Shelly , 106thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63472
HB 5,"University System of Georgia; menstrual hygiene products available at no cost to students in certain facilities; require
Status: 02/07/2023 - House Second Readers",House Committee:Higher Education,"Scott, Sandra , 76thSchofield, Kim , 63rdDavis, Viola , 87th",https://www.legis.ga.gov/legislation/63473
HB 6,"Public assistance; use certain benefits for purchasing diapers or menstrual products; provide for waiver request
Status: 02/07/2023 - House Second Readers",House Committee:Public Health,"Scott, Sandra , 76thSchofield, Kim , 63rdDavis, Viola , 87thAdesanya, Solomon , 43rd",https://www.legis.ga.gov/legislation/63474
HB 7,"Behavioral Health and Developmental Disabilities, Department of; establish school-linked behavioral health grant program; provide
Status: 02/07/2023 - House Second Readers",House Committee:Health,"Scott, Sandra , 76thDavis, Viola , 87thCarter, Doreen , 93rdTaylor, Rhonda , 92ndJones, Sheila , 60thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63475
HB 8,"Education; attendance policies consider mental and behavioral health; provide
Status: 02/07/2023 - House Second Readers",House Committee:Education,"Scott, Sandra , 76thJones, Sheila , 60thCarter, Doreen , 93rdTaylor, Rhonda , 92ndDavis, Viola , 87thSchofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63476
HB 9,"Behavioral Health and Developmental Disabilities, Department of; create and maintain Georgia Crisis and Access Line; statutorily require
Status: 02/07/2023 - House Second Readers",House Committee:Health,"Scott, Sandra , 76thDavis, Viola , 87thCarter, Doreen , 93rdJones, Sheila , 60thSchofield, Kim , 63rdHutchinson, Shelly , 106th",https://www.legis.ga.gov/legislation/63477
HB 10,"Elections and primaries; visually disabled to vote electronically; provide
Status: 12/22/2022 - House Prefiled",,"Schofield, Kim , 63rd",https://www.legis.ga.gov/legislation/63478
